"Notes"	"County"	"County Code"	Births
	"Portsmouth city, VA"	"51740"	1587
	"Richmond city, VA"	"51760"	2985
	"Virginia Beach city, VA"	"51810"	6261
	"Unidentified Counties, VA"	"51999"	40466
	"Benton County, WA"	"53005"	2570
	"Clark County, WA"	"53011"	5489
	"King County, WA"	"53033"	24644
	"Kitsap County, WA"	"53035"	2949
	"Pierce County, WA"	"53053"	11245
	"Skagit County, WA"	"53057"	1456
	"Snohomish County, WA"	"53061"	8930
	"Spokane County, WA"	"53063"	5874
	"Thurston County, WA"	"53067"	3139
	"Whatcom County, WA"	"53073"	2263
	"Yakima County, WA"	"53077"	4211
	"Unidentified Counties, WA"	"53999"	14206
	"Kanawha County, WV"	"54039"	2156
	"Unidentified Counties, WV"	"54999"	18561
	"Brown County, WI"	"55009"	3394
	"Dane County, WI"	"55025"	6045
	"Kenosha County, WI"	"55059"	1971
	"La Crosse County, WI"	"55063"	1309
	"Marathon County, WI"	"55073"	1637
	"Milwaukee County, WI"	"55079"	14208
	"Outagamie County, WI"	"55087"	2325
	"Racine County, WI"	"55101"	2452
	"Rock County, WI"	"55105"	1894
	"Sheboygan County, WI"	"55117"	1304
	"Washington County, WI"	"55131"	1323
	"Waukesha County, WI"	"55133"	3735
	"Winnebago County, WI"	"55139"	1934
	"Unidentified Counties, WI"	"55999"	24279
	"Unidentified Counties, WY"	"56999"	7399
"Total"			3953590
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2011"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Feb 17, 2025 1:07:29 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Feb 17, 2025 1:07:29 AM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
